titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates,,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-29,2004-04-29,EXTERIEUR,PLACE,DE LA CONCORDE,75008,PLACE DE LA CONCORDE 75008 Paris France,48.865519, 2.321454,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-27,2004-04-27,EXTERIEUR,PLACE,DE LA CONCORDE,75008,PLACE DE LA CONCORDE 75008 Paris France,48.865519, 2.321454,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-26,2004-04-26,EXTERIEUR,PONT,ALEXANDRE III,75008,PONT ALEXANDRE III 75008 Paris France,48.863669, 2.313547,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-24,2004-04-24,EXTERIEUR,PONT,ALEXANDRE III,75008,PONT ALEXANDRE III 75008 Paris France,48.863669, 2.313547,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-29,2004-04-29,EXTERIEUR,PONT,DE L'ARCHEVECHE,75005,PONT DE L'ARCHEVECHE 75005 Paris France,48.851604, 2.351582,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-25,2004-04-25,EXTERIEUR,PONT,DE L'ARCHEVECHE,75005,PONT DE L'ARCHEVECHE 75005 Paris France,48.851604, 2.351582,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-28,2004-04-28,EXTERIEUR,PONT,DE LA CONCORDE,75008,PONT DE LA CONCORDE 75008 Paris France,48.86366, 2.319788,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-24,2004-04-24,EXTERIEUR,PONT,DE L'ARCHEVECHE,75005,PONT DE L'ARCHEVECHE 75005 Paris France,48.851604, 2.351582,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-22,2004-04-22,EXTERIEUR,PONT,DE L'ARCHEVECHE,75005,PONT DE L'ARCHEVECHE 75005 Paris France,48.851604, 2.351582,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-22,2004-04-22,EXTERIEUR,PONT,DE LA CONCORDE,75008,PONT DE LA CONCORDE 75008 Paris France,48.86366, 2.319788,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-29,2004-04-29,EXTERIEUR,QUAI,DE MONTEBELLO,75005,QUAI DE MONTEBELLO 75005 Paris France,48.852351, 2.348252,
QUARTIER VIP,FIRODE LAURENT,2004-10-05,2004-10-05,EXTERIEUR,BOULEVARD,ARAGO,75014,BOULEVARD ARAGO 75014 Paris France,48.834624, 2.337211,
QUARTIER VIP,FIRODE LAURENT,2004-05-18,2004-05-18,EXTERIEUR,PLACE,DE BRETEUIL,75007,PLACE DE BRETEUIL 75007 Paris France,48.847512, 2.311946,
TOUT POUR PLAIRE,CECILE TELERMAN,2004-05-27,2004-05-27,EXTERIEUR,CANAL,SAINT MARTIN,75010,CANAL SAINT MARTIN 75010 Paris France,48.880421, 2.374757,
TOUT POUR PLAIRE,CECILE TELERMAN,2004-03-06,2004-03-06,EXTERIEUR,QUAI,DE VALMY,75010,QUAI DE VALMY 75010 Paris France,48.876123, 2.364043,
TOUT POUR PLAIRE,CECILE TELERMAN,2004-04-06,2004-04-06,EXTERIEUR,RUE,GASTON COUTE,75018,RUE GASTON COUTE 75018 Paris France,48.889204, 2.340729,
LES INVISIBLES,JOUSSE THIERRY,2004-02-06,2004-02-06,EXTERIEUR,PLACE,DE LA CONTRESCARPE,75005,PLACE DE LA CONTRESCARPE 75005 Paris France,48.844355, 2.349421,
LES INVISIBLES,JOUSSE THIERRY,2004-01-06,2004-01-06,EXTERIEUR,PLACE,DES ABBESSES,75018,PLACE DES ABBESSES 75018 Paris France,48.884306, 2.338703,
LES INVISIBLES,JOUSSE THIERRY,2004-03-06,2004-03-06,EXTERIEUR,RUE,DU CHAROLAIS,75012,RUE DU CHAROLAIS 75012 Paris France,48.842013, 2.385023,
